query_id,answer
56,4234 4407 4400 4308 4387 4403 4328 4219 2408 4045
57,2937 4364 3751 4372 3054 3688 4423 4367 4496 2215
58,4384 2646 4219 4440 4361 3127 4308 3077 4389 4234
59,4219 2646 2865 4384 1966 4400 4389 4308 4406 4387
60,2646 4219 4400 4384 2865 4387 1966 4408 4308 4403
61,4219 4440 2646 4384 3127 4361 4389 4234 2943 4313
62,4219 4384 2646 4400 2865 1966 3470 4308 4234 3844
63,4400 4219 4387 4403 4234 2831 2521 4408 4407 2944
64,4328 4308 4234 4396 1909 1907 2462 4400 1918 4387
65,4008 2217 2968 2942 2663 2695 3595 4287 4243 4371
66,3779 4134 4266 4291 4316 2670 2157 4269 4276 4307
67,4440 4361 2646 4312 4313 4219 3470 4384 3077 4274
68,4008 4433 3595 2217 2207 4202 3932 2204 4287 2663
69,2646 4219 4234 4400 4384 1966 4361 4408 2865 3470
70,4328 4396 4286 1909 4234 1907 4308 1951 4362 4290
71,4219 2646 4234 4384 4440 4308 1951 3467 4214 4010
72,4234 4308 4219 4362 4214 2698 1951 4384 2646 1909
73,4440 4313 3993 4389 2894 2220 2696 2037 4375 4276
74,4219 4400 2646 2865 1966 4384 4308 4361 4408 4387
75,2646 4234 4384 1909 2866 1966 4440 4308 1951 4313
76,1901 4328 4234 4396 2196 4286 4308 4435 4214 1899
77,4328 4219 4308 1909 4362 4234 4396 4387 4400 2962
78,4328 4433 1909 4234 4308 4396 4290 3265 2196 4220
79,4219 2646 2865 4384 1966 4389 4400 3844 4387 4234
80,3861 4320 4319 2232 4354 4317 4266 4436 2902 4321
81,4219 4384 2646 4400 1966 3470 2865 4234 4389 4308
82,4234 4308 4387 4400 4219 4328 2964 4408 2831 1909
83,4234 4361 1951 4328 1909 4219 4308 4387 4204 4396
84,4400 4219 4384 4367 4234 2646 4407 2962 4403 4308
85,2962 2646 4227 2924 4400 4403 4308 4290 4384 2408
86,1951 3467 4234 4308 4286 4214 4361 4366 4320 4400
87,2646 4234 2866 4384 4361 2865 1966 1951 4440 4219
88,1951 3467 4234 4286 4219 4400 4328 4308 4214 4218
89,1951 4328 4234 4286 3467 4214 1909 4320 4400 1907
90,4219 2646 4384 4400 2865 1966 3844 4308 4395 3470
91,4234 4308 1909 4387 4362 1901 2943 4396 1918 4009
92,4234 1951 4362 4328 4214 2698 3467 2964 2646 4361
93,4387 4219 4400 4234 2646 4384 4308 3470 4257 1909
94,3147 4411 2062 4110 4419 3260 4205 3261 2060 3006
95,1951 3467 4214 4286 4328 3436 4396 4219 4320 1909
96,1958 4219 2646 1966 2865 4400 4403 4408 1909 4361
97,4403 4219 4407 4400 2408 4234 4387 2646 4384 4408
98,1951 4234 4328 4286 4214 3467 4219 4436 4532 4366
99,4219 1958 4400 4389 4403 4234 3470 4387 4308 2646
100,1951 4328 4286 4396 3436 4234 3467 1907 1909 4214
101,4219 2646 4400 2865 4408 1966 4361 4384 4389 4403
102,4214 4366 2213 4451 3774 4227 4431 4220 4209 4445
103,4219 2646 4361 4384 4440 4389 2943 4308 4234 4322
104,2646 4219 2865 4384 4389 4440 4361 4400 4408 4308
105,4219 4384 4313 2646 4440 3077 4308 4234 4361 1909
106,4219 4408 2646 4361 4384 4322 4234 4308 4312 4440
107,1909 4328 1918 4396 4308 4234 4286 1907 4400 3419
108,2646 1951 4219 4308 4384 4234 4214 4366 2943 4320
109,2646 4219 4234 1966 4384 4361 2865 2866 3470 1909
110,4219 4328 4308 4234 2646 1909 3127 4384 4400 3564
111,4219 2646 1909 4233 4361 4308 4234 4384 4408 4440
112,4219 4389 2646 4400 4384 2865 1966 3470 4504 4234
113,1951 4214 4234 4362 4328 3467 2698 4436 4532 4446
114,4395 2646 4214 4389 4219 4400 4424 4384 4313 4234
115,4395 4424 4454 4262 4264 4447 4351 1842 4399 4290
116,4219 2646 4308 4384 4234 1909 3127 4440 4389 4257
117,1909 4328 4396 3419 4234 4286 4243 1899 1907 1918
118,4219 4440 4384 4389 2646 3078 4313 4312 4257 4361
119,4219 2646 4384 4313 4308 3077 4234 1909 3078 4440
120,4219 4440 4384 2646 2943 4406 4361 3470 4313 2696
121,4440 4389 4219 2646 4257 2521 4313 3470 1966 4384
122,4451 4214 4366 2331 2213 3774 4395 4220 2450 4209
123,4219 2646 4400 4440 2865 4234 4389 1966 2696 4308
124,4361 4328 1909 4234 4396 4384 4219 2646 4400 4387
125,4440 4384 4219 4361 4389 4232 2521 2646 4009 4257
126,4328 4234 1907 4308 4068 4050 4243 4396 1909 4286
127,4361 4384 4219 4234 3470 1966 4440 4313 2646 3127
128,2646 4219 4400 2865 4408 1966 4361 4384 4389 4440
129,1960 4408 4234 4328 2924 4400 4367 2962 4308 4396
130,4219 4308 2865 2646 1951 4234 4361 1909 4400 4384
131,4440 4313 4371 4202 2968 4008 4243 3552 2217 4005
132,3871 4411 4412 4252 4502 4240 4292 2068 2060 4274
133,4308 4234 4367 4328 3265 4431 4362 2698 1909 2196
134,4328 4234 1909 4396 4243 4366 4290 4286 4218 2918
135,4387 4219 4400 4234 2646 4384 4308 4257 4285 1958
136,4219 2646 4384 4400 1966 3470 4389 2865 4308 4408
137,4308 4219 1909 4234 4328 2646 4361 4403 4362 4408
138,2068 4419 2062 3261 4411 4205 4110 4109 3431 2857
139,4219 2646 4308 4234 4384 2943 4328 4361 4396 4214
140,4219 4395 4214 2646 4389 4387 4424 4384 4440 4361
141,4328 1909 4308 4234 4396 3419 1907 4219 1918 4286
142,4219 2646 2865 4384 4400 4389 1966 4308 4440 4406
143,1951 4234 4366 4320 3467 4286 4321 4214 4436 4219
144,4219 4389 4440 2646 4384 3127 4361 4308 4234 2943
145,4362 1901 4234 4328 1899 4286 4308 2196 1951 1909
146,4361 1951 4320 4234 4286 4436 4321 4366 4214 4218
147,3470 4219 4387 2646 1966 4384 4504 4400 4389 4308
148,4219 2646 2865 4384 1966 4400 4308 3844 4408 4234
149,4219 2646 4384 4400 1966 2865 4308 4234 4389 4403
150,4445 2151 4353 4229 4422 3929 4220 4248 4299 4410
151,2646 4219 2865 4400 1966 4403 4387 4384 4234 4407
152,4384 4440 3470 4219 4400 1966 4387 4361 2865 2646
153,4328 1907 4396 1909 4308 4286 4234 4361 4219 3419
154,4328 4396 4286 1907 3436 1909 4234 4308 1951 1899
155,4219 4403 4400 2646 2408 1966 4407 4384 2865 4308
156,2865 4219 4400 1966 4308 4361 2866 2646 4234 2944
157,2865 1966 4308 4234 4400 4384 4361 2866 2646 4440
158,1951 4234 4214 4328 4286 4308 3467 4366 2698 4321
159,4219 2646 2865 4384 1966 4400 4389 4361 4408 4440
160,4328 1909 4234 4396 4286 4219 4308 1918 4517 4399
161,2665 2511 2698 4214 4424 2646 4395 4398 3553 4408
162,4219 2646 4384 2865 4400 1966 4406 3470 4389 4234
163,4328 1951 4308 4234 3265 4286 4367 4153 4396 1901
164,4400 4367 4234 2696 4403 4371 1966 2886 2894 3006
165,4219 4440 3470 2646 4384 4313 3078 1966 2866 4233
166,4362 4234 4308 1909 4214 4219 4328 4396 3467 4286
167,4219 4400 2646 4387 4384 1966 4408 4308 4234 2865
168,1951 4234 4219 4361 2646 4286 4308 2698 4400 4214
169,2865 2646 4219 1966 4400 4308 4387 4234 4361 2866
170,1958 1909 4219 4384 1966 4387 4400 4234 2646 2865
171,4440 2696 4389 4219 2646 4371 4313 4202 4375 4439
172,4219 2646 4361 3127 4234 4384 4308 4389 1909 4440
173,3643 4440 2894 2696 4313 3128 4371 2196 2198 4337
174,1907 4396 4328 4400 4234 4308 4361 4286 4214 1909
175,4451 4214 4220 4447 4227 2331 4290 4209 4366 2698
176,4440 4219 2646 4394 4384 4389 4361 4232 2521 4322
177,1951 4234 4320 4308 3467 4214 4219 2646 4286 2698
178,1951 4320 4214 4234 4367 4366 4321 2232 4219 4436
179,4364 4232 2908 4220 4423 4321 2914 2937 3028 2917
180,4440 4219 4308 2646 4389 3565 4234 4384 4387 4446
181,4440 2646 4219 4389 4285 4387 4361 4308 4408 2943
182,4219 2646 1909 4234 4384 4308 4361 4389 3127 4322
183,1951 4328 4214 3467 4234 2698 4362 4286 4219 4308
184,4219 2646 2865 4400 1966 4384 3844 4308 4234 4406
185,1951 2232 4320 3861 3469 4319 4321 4214 4367 2911
186,3643 4440 4371 2942 3128 4409 4337 4375 2244 4202
187,4219 2831 4400 4234 4361 2646 1966 2865 2521 4408
188,4219 4400 4234 4384 2646 4308 1966 4403 4285 4387
189,2865 2646 4400 4384 4219 4403 1966 4387 4361 4234
190,4006 4204 4234 3467 2095 3579 4276 3580 4257 3844
191,1951 4234 4532 4214 4286 4218 3467 4362 4400 4328
192,4328 4286 1909 4396 4308 4219 4234 1918 4407 3419
193,4403 4407 2408 4219 4387 4400 4234 2646 4384 4408
194,1951 4234 4328 4214 4219 1909 1907 3467 4362 4322
195,4219 4214 4395 2646 4389 4424 4313 4350 4209 4222
196,2646 4387 4308 4219 4400 4384 2865 4389 1966 4440
197,4219 4384 2646 4440 4361 4312 3127 4389 4313 3077
198,1951 4234 4286 3467 4214 4366 4328 4308 4321 4320
199,4361 4234 2646 2865 4219 4384 3844 4406 1966 1909
200,2646 4400 4440 2865 1966 4384 3470 4219 4308 2521
201,2696 4219 4234 4504 4387 4400 4375 3689 4384 1958
202,4219 2646 4384 4389 4440 4308 3127 4361 4387 2943
203,2646 4387 4219 4384 4400 1966 4440 4389 2865 4395
204,4328 1909 4234 4308 4286 4396 2646 1918 4517 4361
205,2865 2866 1966 2646 4440 4384 4361 4400 4234 1951
206,4308 2249 4219 4400 4328 4234 4396 4387 1909 4407
207,4219 2646 4214 4395 4234 2943 2665 4361 2698 4424
208,4219 2865 4400 4308 2646 4504 4387 4234 4403 4389
209,1951 4234 4328 4219 4286 2866 4361 4214 2646 4308
210,4234 2646 4219 4384 4361 1909 3470 4313 4400 3844
211,2646 4219 2865 4384 4400 1966 4234 4389 2521 4408
212,4328 4396 4286 4234 1907 4308 4362 1951 2698 1899
213,4219 4440 4389 4312 4384 3078 2646 4313 3127 4334
214,4395 4214 4219 2646 2865 4384 4400 4234 1966 4308
215,4328 1909 4396 4234 4308 4219 4400 4286 1918 1907
216,2661 4008 2888 2222 2968 4243 2922 4321 2902 4551
217,4366 4214 4460 2646 4219 4308 2698 4209 4424 4451
218,2646 4219 4440 4384 4389 4400 4361 4234 1909 4308
219,2646 4384 4219 4308 3467 4136 2171 3015 4135 4440
220,4440 2220 2696 4389 4439 3643 2894 4202 4371 4337
221,4219 2646 4440 4389 4384 4361 4285 2943 4308 3565
222,1951 4328 4234 1907 4286 4400 4204 4214 4366 4396
223,2646 4219 4440 4384 4389 3127 4400 4387 4257 4408
224,4219 1966 4234 4400 2865 4408 4308 3470 2831 4532
225,4371 4372 2910 4309 4364 4406 2908 3169 4202 4531
226,4371 4243 4372 4318 4364 4423 4354 4321 3777 4247
227,4286 4396 1907 4328 1909 4308 3436 1918 4234 3419
228,4219 2646 2865 4400 1966 4308 4384 4234 1958 4403
229,1958 4384 2646 1966 4219 2865 4389 3470 4400 4403
230,4400 4219 4387 2646 4234 4384 4403 3689 4408 3470
231,4328 4286 3436 4234 1951 1909 4396 4308 1907 4219
232,2865 1966 4387 2646 4308 4234 4400 4219 4384 1909
233,1951 4532 4234 4286 4214 3467 4328 4219 2646 4308
234,4219 4387 4396 1909 4234 4400 4308 4408 4440 1958
235,4387 2646 4219 4384 4234 4400 2865 4308 1966 1958
236,4219 4400 2646 4384 1966 4403 2865 4234 4387 4361
237,4396 4328 4308 4234 1909 3265 4399 4300 4435 4362
238,4328 4396 1909 4234 4308 4286 1907 1918 4446 4362
239,4364 4423 4266 4220 4232 4363 3786 4429 4294 4414
240,4328 4396 4286 4234 1901 4308 4045 3436 4243 1909
241,4308 4234 4328 4396 4286 1907 1909 4243 1951 2646
242,4234 4328 4387 4396 4286 4362 4308 1899 4214 4400
243,4406 4389 3844 2646 4440 4361 4234 2865 4395 4384
244,1951 4234 4320 4214 4286 4366 4308 4204 3467 4436
245,4219 2646 4384 2865 4400 4387 1966 4308 4389 4395
246,4219 4400 2646 4384 1966 2865 4387 4234 4308 4403
247,2646 4384 4387 4219 3470 4440 4400 1966 4389 4234
248,2968 4388 4243 4375 2254 4269 2663 4008 2253 2695
249,4219 4384 4361 3470 4440 2646 3078 1966 4234 4313
250,1951 4234 4219 4308 3467 4320 4361 4214 1901 4321
251,4400 4219 4308 4234 2865 4384 4328 1966 4408 3470
252,4440 2894 4371 2696 3643 3254 2196 3128 3993 4337
253,4328 4396 4234 1909 4286 4308 1899 4362 1901 4219
254,1951 4328 4286 4234 4321 4320 4214 4436 4366 4218
255,1909 1836 1910 4234 4396 1918 4387 4328 4331 1958
256,4219 4400 2646 2865 1966 4308 4387 4403 4389 4384
257,4321 4266 4296 4523 4249 4371 4367 4339 4207 4220
258,4234 2646 4308 4362 4446 1909 4286 4214 4396 4361
259,4219 4400 2646 2865 4384 4403 4308 1966 4234 1909
260,1951 4234 4328 4214 4286 4320 1909 4218 3467 4010
261,4400 2865 4408 4387 4219 2646 1966 1958 4407 4389
262,1951 4234 4328 4219 4361 2646 4286 3467 4396 2943
263,3315 4162 4453 4328 4519 4307 3858 4385 4243 4530
264,4309 2674 3016 3750 2214 4403 4324 4254 4313 4523
265,2646 4387 4219 4384 4400 1966 4389 2865 4440 4308
266,4214 2698 4451 4366 4447 4219 4209 4400 4227 4234
267,1966 4400 4219 4403 2865 4408 4234 2646 4308 2831
268,4328 1909 4396 4234 4286 4308 4219 4400 2646 4361
269,4214 4308 2698 4366 4460 4451 4209 4234 4424 3862
270,4219 2646 4234 4384 3127 4361 4308 1909 1951 3564
271,4328 4286 4396 1909 4308 1907 4234 3436 4516 4517
272,4219 2646 4384 4387 2865 4400 1966 4308 3470 4395
273,1951 3467 4234 4286 4219 4400 4308 4328 4218 4366
274,4396 1909 3265 4328 4234 1918 4435 4387 4362 1907
275,2646 4219 4384 4233 4308 4440 3077 4313 4389 4234
276,4219 4387 2646 4400 4234 4384 4408 4308 3470 4389
277,4451 4214 4220 4290 2698 4447 4227 4371 4460 4209
278,4328 1907 4396 1909 4234 4286 3436 4308 1951 3419
279,4328 4286 4396 1907 3436 4234 1909 4364 4399 3419
280,4400 3209 4387 4403 4407 4234 2831 4408 4232 4219
281,4440 2943 4389 4361 4530 4050 4518 4153 4205 4531
282,4219 2646 4234 4308 4384 1909 4400 4361 3127 4408
283,4328 4396 4308 4286 2646 4400 4219 4446 3265 4234
284,4008 4243 2663 2968 4440 2661 2695 3595 2217 4287
285,4234 4214 4308 4362 2665 1909 3467 1951 4328 4361
286,1907 1909 4328 4396 4308 4286 4234 4227 2646 1899
287,4453 4519 4307 4224 3592 3734 3783 4454 4385 3782
288,2962 4397 2646 4401 4384 4227 4219 4276 4389 4257
289,1910 4219 1960 4234 4308 4408 1909 4387 4328 1907
290,4219 4234 2646 4308 1951 3127 4153 4384 4362 4204
291,4219 4389 2408 4384 4387 2646 4407 4440 4400 2865
292,4219 4400 1966 2865 2646 4389 4403 4384 4408 4234
293,4219 2646 3127 4384 4308 3565 4389 4440 4361 4313
294,4395 2646 4219 4214 4384 4387 4389 4400 4407 1966
295,4219 4400 2646 4384 1966 4387 2865 4308 4403 4408
296,1951 4234 4214 4308 2698 4219 4320 4321 4366 4204
297,4308 4234 2646 4396 4328 4387 1909 4446 4219 2964
298,2646 4219 4384 4400 4308 1966 3844 2865 4361 4389
299,4361 4384 4219 3470 2646 1909 2943 4406 4313 4257
300,4308 4234 4408 1909 4396 4214 4387 1923 4328 1960
301,4322 1909 2646 4361 4440 4308 2865 4219 4384 4234
302,4224 4354 4371 4008 2217 4375 4545 4266 2942 4134
303,4396 4328 4286 1907 1909 4234 4308 1918 1899 4400
304,4219 2646 4384 4361 4234 3015 4322 4308 4233 3127
305,4362 1901 4234 4153 4214 2196 4308 2698 4050 4045
306,4328 4234 4396 4308 4286 1907 4362 4219 1899 4321
307,4243 4224 4266 4269 4303 4134 4185 4307 3784 4291
308,1951 3467 4328 4286 4234 4361 4214 4308 4218 4366
309,4440 2220 4371 2208 4375 2942 2894 2279 4202 4276
310,1951 3467 4234 4219 4396 4218 4328 4286 4362 2646
311,4219 2646 4384 1966 2865 4400 4389 4440 4308 3470
312,4328 4234 4308 4396 1901 4362 4214 2196 3265 2698
313,1951 4234 4362 4214 4308 4328 2698 4286 4396 3265
314,4308 1909 4396 4234 4286 4328 1899 2196 4362 4219
315,1951 4234 4214 4319 4320 2698 4367 4321 4361 3467
316,4400 4408 4387 4219 2865 1966 4234 4407 2646 4403
317,4328 4308 4234 1909 4396 4286 1918 4400 1907 4219
318,4219 2646 4387 4400 4384 1966 4308 4395 4234 4389
319,4234 4328 4286 1909 4308 4362 1951 4396 4361 4331
320,4361 2646 4233 4384 4219 4234 4313 3127 1966 4257
321,4328 4286 4396 1907 1909 4234 3436 4308 4214 3419
322,1909 4234 4400 1923 4009 1907 3843 4408 2521 4361
323,4219 2646 4400 1966 3470 4234 4389 4384 4440 2865
324,2865 2646 1966 4219 4400 4234 4384 2831 2521 1958
325,4219 4400 1966 2646 4234 4440 4389 4384 4408 4361
326,4328 4286 1907 4396 3436 4234 1909 1951 4308 4219
327,2646 4219 4361 1909 4384 4234 4233 4308 3127 4408
328,1910 4009 1909 1923 4234 4408 2646 4396 4308 4513
329,4387 1966 4219 4234 4400 3470 4308 4408 4384 2646
330,1951 4214 4234 4286 4366 4219 4361 4308 3467 4320
331,4219 2646 4440 4361 4389 4384 1809 3127 4322 4010
332,4214 2698 2665 4234 4308 1951 4424 2646 4219 4460
333,1951 4234 4320 2232 4366 4367 4308 4321 4328 1899
334,4361 4308 4400 2665 4366 4214 2698 4219 4234 4395
335,1951 4214 1899 3467 4308 1909 4234 4286 4328 4396
336,4328 4396 1909 4234 4308 4286 3265 4219 4362 4446
337,2646 4219 1909 4234 1966 4400 4389 2521 4384 4361
338,1951 4234 4286 4308 4400 4366 2646 2698 4214 4219
339,4214 2665 1951 2698 4234 4366 4308 4460 4424 4219
340,4224 2953 2918 2244 3863 4243 3853 4081 4355 2152
341,4387 2646 4219 4400 4384 4389 4403 4234 1958 4308
342,4162 4045 3592 4385 4204 4530 4243 4218 4050 4445
343,4219 2646 4400 4440 2521 4384 4408 4389 4257 4361
344,2646 4234 4389 4384 4440 4361 4219 2943 4313 4308
345,4440 4361 4219 4384 4389 2646 4400 4334 2521 4234
346,4445 3011 4291 4362 4257 4444 2962 4220 3844 4134
347,4400 4387 4219 4234 2646 4408 4384 1966 1958 4403
348,4219 4440 2646 4214 4389 4384 4407 4395 4204 2521
349,4440 2646 4389 4312 4406 4361 4233 4219 4384 4313
350,4219 2646 4384 2865 4400 1966 4395 4308 3470 4389
351,4400 4387 4219 2646 1966 4234 2865 4532 4408 3470
352,4400 4219 4234 4214 4361 4395 2698 4308 2665 4366
353,2062 4110 4411 2068 4404 4419 3261 3147 3871 4205
354,1909 4396 4328 1899 4243 2244 4234 4308 2198 4296
355,4219 2962 2646 4384 4387 4440 4400 4389 2865 4395
356,4328 4234 1909 4286 4396 4308 4219 1918 4517 4387
357,4219 2646 4384 3127 4308 4234 4328 1951 1909 4400
358,2646 4234 1951 4384 1909 4361 2865 1966 4204 4214
359,4219 4384 2646 1966 4400 4234 4387 2865 4403 4308
360,1951 4328 4220 4320 4319 4436 4286 4367 4396 4214
361,4395 4424 4214 1909 2665 1918 4290 2698 4363 4396
362,4234 2646 4400 4361 4328 4219 4045 4308 2865 4286
363,4219 2646 4384 2865 4400 1966 3470 4389 4406 4395
364,4328 1907 4308 4396 4286 4290 1909 4234 4219 4400
365,4307 4243 4287 4375 2663 2415 2953 3780 4266 3552
366,4219 4234 2646 4384 1966 2865 4400 4361 1909 3844
367,4219 4384 4313 4440 3470 4361 2646 3077 2696 3078
368,4331 1910 4234 4219 2646 4308 1909 2462 4009 1923
369,4328 1909 4234 4396 4286 4308 2646 4361 4219 4362
370,4234 1951 2646 4219 4361 4286 4328 4308 3467 4214
371,4209 2695 3148 2253 4451 2247 4388 4005 4445 3643
372,4328 1909 4308 4234 4396 4219 3419 4400 2646 4362
373,4234 4328 4308 1909 4362 4214 2646 4446 4219 4331
374,4219 4400 2831 4234 4308 4408 2865 4403 1966 2964
375,1951 2646 4320 3467 4214 4204 4219 4234 4286 4361
376,4219 2646 4384 2865 4400 1966 4308 4406 3470 3844
377,4219 2646 4384 4361 4308 1951 4234 4322 4400 3127
378,4328 3265 4234 1899 4396 4308 4362 1901 4286 2196
379,4440 2646 4389 2865 3844 4384 4406 4219 1966 4361
380,4219 2646 4400 4403 4361 2865 4384 1966 2831 4234
381,4219 2646 4384 4400 1966 4308 3470 2865 4234 4395
382,4328 4396 4334 4286 1909 2408 4234 3419 4403 4516
383,4242 4370 4266 4436 2928 4354 4249 4321 4551 3862
384,4219 4234 2646 4308 4334 1909 4153 1951 4331 3467
385,1951 4234 4320 4214 2646 4286 3467 4384 4532 4361
386,4219 4400 1966 3078 3470 4440 4332 4384 2646 4313
387,1951 3467 4214 4286 1909 4532 4219 4234 4328 4045
388,4440 4219 4389 2646 4361 4406 4257 4384 2521 3689
389,1951 4234 4219 4361 4286 2646 4308 4400 2698 4214
390,4372 4371 4445 4178 2910 3777 4423 4220 4386 4307
391,4234 4308 4328 1909 4362 4214 4243 4219 4286 4396
392,4328 4234 1909 4396 4286 4308 1899 4219 4362 4214
393,4219 2646 1909 4440 4234 4308 4322 4384 4408 1809
394,1951 4234 2232 3467 4219 4320 4321 4214 4328 4286
395,4371 4439 2670 4440 4337 4243 2220 4276 3128 2942
396,4219 2646 4214 4384 4424 4389 4395 2962 3026 4400
397,1951 4234 4400 4286 4361 4387 4436 2646 4219 4308
398,4395 4424 4454 3992 4264 4262 4334 4534 1842 4447
399,4219 2646 2865 4384 3844 4400 4389 1966 4408 4440
400,4219 4214 2646 4389 4424 4395 4440 4384 4313 4361
401,4219 4400 4387 2865 4308 1966 2646 4234 4361 2831
402,4451 4209 4227 4220 4214 4445 4447 4290 4534 2698
403,4219 2646 4384 4400 2865 1966 4406 3844 4308 4389
404,4219 2646 4384 4400 1966 2865 4308 3470 4395 4234
405,1909 4396 4328 4286 4234 1918 4243 1899 4308 1901
406,4219 4400 4387 2646 4308 4384 4234 4408 1909 2831
407,4328 4286 3436 4308 4396 1907 4234 1909 1899 4362
408,2646 4234 4219 1909 2865 4384 4308 1966 4361 4387
409,1909 4328 4396 4234 4286 3419 1899 1907 1918 4308
410,4219 4234 2646 1909 4400 4408 4384 4361 4387 4204
411,4400 4234 4387 2646 4403 2408 2943 4308 4408 2964
412,4219 4395 2646 4214 4389 4424 4440 4384 4361 3026
413,4328 4396 1909 4234 4308 4400 4399 4134 1907 4219
414,2916 4243 3051 4372 2968 2908 4371 4247 2910 2794
415,1909 4328 4234 4286 1907 2831 4308 4396 4400 4219
416,4219 4400 2646 4440 4361 4384 3689 4389 2944 4234
417,3147 2062 4110 4411 3431 2061 4451 3261 2060 3260
418,4328 1909 4234 1907 4396 4308 4219 4409 4516 4387
419,4219 4400 4384 3470 4313 4234 4375 1966 3078 4408
420,4219 2646 4384 4440 4389 3470 4313 4234 1909 4257
421,2865 4308 4400 4219 2646 4234 1966 4384 2866 4361
422,4328 4308 4234 4219 4387 4396 1909 4400 1958 4362
423,4440 4219 4389 4384 4387 4400 2646 2962 4408 2865
424,4234 2865 1909 2646 4219 1960 4408 4361 4400 1910
425,1951 4234 1901 4328 4308 4214 4361 4396 1899 4286
426,4440 4219 2646 2962 4389 4408 4257 4384 2521 1958
427,1951 4214 4328 3467 4234 3591 4286 4385 4308 3592
428,4234 4308 2646 4362 4286 1909 4214 4396 4446 4384
429,4328 1951 1907 3467 4286 4396 4214 3436 4219 4234
430,2646 4219 1966 4403 2865 4387 4408 4234 4308 4400
431,4219 2646 2865 1966 4384 4400 4406 4234 4308 3844
432,1951 4308 3467 2646 4234 4366 4219 4286 4400 4320
433,1951 3467 4219 4234 1909 4400 4361 4308 4010 4286
434,4396 4009 4308 1923 1909 4387 4328 2646 1899 4219
435,4234 1909 4219 4308 2646 2865 4361 1966 4400 4384
436,4400 4234 4408 4308 4219 4387 1960 2962 4328 1909
437,2646 4219 4384 4308 2865 2962 4400 4387 1966 4361
